"ID","Vaccine Name","Disease Name","Disease Classification","Virus Name","Nucleic Acid Content","Vaccine Type","Vaccine Status","Manufacturer","Year of Manufacturing","Manufacturing Country","Age","Dosage","Administration Route","Adjuvant","Target Strain","Description","Approving Organisation","Collaborating Organisation","Other Countries","Trade Name","PMID","Clinical Trial ID","Reference Link","Additional Links"
"10049","CoronaVac","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Inactivated","Approved","Sinovac Biotech Ltd.","NA","China","18 years and above","NA","Intramuscular","Aluminum (aluminium hydroxide)","Inactivated SARS-CoV-2 virus","Vero cells","NMPA, WHO","NA","NA","Inactivated SARS-CoV-2 Vaccine (Vero Cell) (lnCoV),CoronaVac","NA","NA","https://extranet.who.int/pqweb/sites/default/files/documents/Status_of_COVID-19_Vaccines_within_WHO_EUL-PQ_evaluation_process-16June2021_Final.pdf","https://clinicaltrials.gov/ct2/show/NCT05107557"
"10050","Covishield","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Recombinant viral vector","Approved","AstraZeneca plc, University of Oxford, Serum Institute of India","NA","UK","NA","NA","Intramuscular","NA","NA","Recombinant ChAdOx1 adenoviral vector encoding the Spike protein antigen of the SARS-CoV-2","Japan MHLW","NA","NA","AZD1222,ChAdOx1 nCoV-19, ChAdOx1-S, COVID-19 Vaccine AstraZeneca, AstraZeneca COVID-19 Vaccine, AZD2816,Vaxzevria","NA","NA","https://extranet.who.int/pqweb/sites/default/files/documents/Status_of_COVID-19_Vaccines_within_WHO_EUL-PQ_evaluation_process-16June2021_Final.pdf","https://www.who.int/publications/m/item/chadox1-s-recombinant-covid-19-vaccine"
"10051","Covishield","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Recombinant viral vector","Approved","AstraZeneca plc, University of Oxford, Serum Institute of India","NA","UK","NA","NA","Intramuscular","NA","NA","Recombinant ChAdOx1 adenoviral vector encoding the Spike protein antigen of the SARS-CoV-2","Australia TGA","NA","NA","AZD1222,ChAdOx1 nCoV-19, ChAdOx1-S, COVID-19 Vaccine AstraZeneca, AstraZeneca COVID-19 Vaccine, AZD2816,Vaxzevria","NA","NA","https://extranet.who.int/pqweb/sites/default/files/documents/Status_of_COVID-19_Vaccines_within_WHO_EUL-PQ_evaluation_process-16June2021_Final.pdf","https://www.who.int/publications/m/item/chadox1-s-recombinant-covid-19-vaccine"
"10052","Covovax (Nuvaxovid)","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Subunit vaccine","Approved","Novavax Inc.","2020","USA","NA","NA","Intramuscular","NA","NA","Recombinant nanoparticle prefusion spike protein formulated with Matrix adjuvant","EMA, WHO","NA","NA","TAK-019, SARS-CoV-2 rS, NVX-CoV2373","NA","NA","https://extranet.who.int/pqweb/sites/default/files/documents/Status_of_COVID-19_Vaccines_within_WHO_EUL-PQ_evaluation_process-16June2021_Final.pdf","https://www.who.int/news-room/feature-stories/detail/the-novavax-vaccine-against-covid-19-what-you-need-to-know"
"10053","Covaxin","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Inactivated","Approved","Bharat Biotech International Limited","NA","India","NA","NA","Intramuscular","NA","NA","Produced in vero cells","DCGI","NA","NA","NA","NA","NA","https://extranet.who.int/pqweb/sites/default/files/documents/Status_of_COVID-19_Vaccines_within_WHO_EUL-PQ_evaluation_process-16June2021_Final.pdf","https://www.precisionvaccinations.com/vaccines/covaxin-covid-19-vaccine"
"10054","EpiVacCorona","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Protein subunit","Approved","Vector State Research  Centre of Viralogy and  Biotechnology","NA","Russia","NA","NA","Intramuscular","NA","NA","NA","Russian Federation","NA","Russia, Cambodia","EpiVacCorona-N, Aurora-CoV","NA","NCT04780035","https://www.cnbc.com/2020/10/14/russia-approves-second-covid-19-vaccine-after-preliminary-trials-.html","https://www.precisionvaccinations.com/vaccines/epivaccorona-vaccine#:~:text=EpiVacCorona%20(Aurora%2DCoV)%20is,19%20and%20promotes%20immunity%20development."
"10055","Zifivax","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Protein subunit","Approved","Anhui Zhifei Longcom Biologic Pharmacy Co. Ltd.","NA","China","NA","NA","Intramuscular","NA","NA","Recombinant","UAE","NA","NA","Recombinant Novel Coronavirus Vaccine CHO Cell)","NA","NCT04550351","https://clinicaltrials.gov/ct2/show/NCT04550351","https://trialsearch.who.int/Trial2.aspx?TrialID=NCT04646590"
"10056","Pasteur","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Protein subunit","Approved","BioCubaFarma","2021","Cuba","NA","NA","Intramuscular","NA","Spike protein of SARS-CoV-2 virus","NA","CECMED","NA","NA","FINLAY-FR-2, Pasteurcovac, Pasto Covac, Soberana 02","NA","NA","https://extranet.who.int/pqweb/sites/default/files/documents/Status_of_COVID-19_Vaccines_within_WHO_EUL-PQ_evaluation_process-16June2021_Final.pdf","https://rpcec.sld.cu/trials/RPCEC00000354-En"
"10057","Corbevax","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Subunit vaccine","Approved","Biological E Limited","2021","India","18 - 65 years","2 doses 28 days apart","Intramuscular","NA","NA","NA","NA","NA","NA","BECOV2A","NA","NA","http://ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=48329&EncHid=&userName=covid-19%20vaccine","NA"
"10058","TAK-019","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Protein subunit","Approved","Takeda Pharmaceutical Company Limited","2021","USA","20 years and above","2 doses 21 days apart","Intramuscular","NA","NA","NA","US FDA, Japan MHLW","NA","Indonesia, Philippines, Japan","NA","NA","NCT05299359","https://clinicaltrials.gov/ct2/show/NCT05299359","NA"
"10059","VLA2001","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Inactivated","Approved","Valneva","2021","Austria","18 years and above","2 doses 28 days apart","Intramuscular","CpG 1018, aluminium hydroxide","NA","NA","EMA","NA","NA","NA","NA","NCT04864561","https://clinicaltrials.gov/show/NCT04864561","https://valneva.com/press-release/valneva-receives-marketing-authorization-in-europe-for-inactivated-whole-virus-covid-19-vaccine-vla2001/#:~:text=VLA2001%20is%20the%20only%20whole,to%2050%20years%20of%20age."
"10060","JCOVDEN","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Non-replicating viral vector","Approved","Janssen Pharmaceutical","2020","USA","18 years and above","NA","Intramuscular","NA","NA","NA","US FDA, WHO, Africa Regulatory Taskforce Endorsed, Caribbean Regulatory System Emergency Use Recommendation","NA","Argentina, Brazil, Chile, Colombia, Mexico, Peru, Philippines, South Africa, Ukraine, USA","Ad26.COV2.S, JNJ-78436735,Ad26COVS1, VAC31518,COVID-19 Vaccine Janssen,Johnson & Johnson COVIDâ€‘19 vaccine","NA","NCT04436276","https://clinicaltrials.gov/show/NCT04436276","NA"
"10061","Razi Cov Pars","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Subunit vaccine","Approved","Razi Vaccine, Serum Research Institute","2021","Iran","18 years and above","2 doses 21 days apart","Intramuscular","NA","NA","NA","Iran FDA","NA","NA","NA","NA","NA","https://www.irct.ir/trial/58143","NA"
"10062","SpikoGen","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Subunit vaccine","Approved","Vaxine, CinnaGen","2021","Iran","18 years and above","2 doses 21 days apart","Intramuscular","Advax-SM","Spike protein of SARS-CoV-2 virus","NA","Iran FDA","NA","NA","NA","NA","NCT05005559","https://covid19.trackvaccines.org/vaccines/8/","NA"
"10063","COVIran Barekat","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Inactivated","Approved","Shifa Pharmed Industrial Co.","2021","Iran","18 - 75 years","2 doses 28 days apart","Intramuscular","NA","NA","NA","Iran FDA","NA","NA","NA","NA","NA","https://en.irct.ir/trial/54881","https://www.rferl.org/a/iran-domestic-covid-vaccine-coviran-barekat/31307467.html"
"10064","FINLAY-FR-2","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Subunit vaccine","Approved","Instituto Finlay de Vacunas","2021","Cuba","19 years and above","NA","Intramuscular","NA","NA","NA","CECMED","NA","Iran, Cuba","Soberana 02","NA","NA","https://www.cecmed.cu/noticias/aprueba-cecmed-autorizo-uso-emergencia-vacunas-cubanas-soberana-02-soberana-plus","NA"
"10065","ZyCoV-D","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","DNA based vaccine","Approved","Zydus Candila Healthcare Limited","2021","India","12 years and above","NA","Intradermal","NA","SARS CoV-2 envelope protein","NA","DCGI","NA","India","NA","NA","NA","https://pib.gov.in/PressReleasePage.aspx?PRID=1747669#:~:text=Zydus%20Cadila%20has%20received%20approval,adults%2012%20years%20and%20above.","NA"
"10066","FAKHRAVAC","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Inactivated","Approved","Erciyes University, Organization of Defensive Innovation and Research","2021","Iran","18 - 70 years","NA","Intramuscular","NA","SARS-CoV-2","NA","Iran FDA","Organization of Defensive Innovation and Research","NA","MIVAC, TURKOVAC","NA","NA","https://en.irct.ir/trial/56027","https://www.tehrantimes.com/news/466570/Two-homegrown-vaccines-receive-emergency-use-license"
"10067","KCONVAC","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Inactivated","Approved","Shenzhen Kangtai Biological Products Co. Ltd","2021","China","18 years and above","2 doses 28 days apart","Intramuscular","NA","NA","NA","China FDA","Beijing Minhai Biotechnology Co.","China, Indonesia","NA","NA","NCT05204589","https://clinicaltrials.gov/ct2/show/NCT05204589","https://www.reuters.com/article/us-health-coronavirus-vaccine-kangtai/kangtai-biologicals-covid-19-vaccine-gets-emergency-use-approval-in-china-idUSKBN2CV1F6"
"10068","Afluria Quadrivalent","Influenza (flu)","Respiratory","Influenza virus","positive-sense, single-stranded RNA","Inactivated","Approved","Seqirus","2007","Australia","6 months - 35 months","NA","Intramuscular","NA","NA","Egg based","US FDA","NA","NA","NA","NA","NA","https://www.cdc.gov/flu/prevent/flushot.htm","https://www.cdc.gov/flu/professionals/acip/2021-2022/acip-table.htm"
"10069","Afluria Quadrivalent","Influenza (flu)","Respiratory","Influenza virus","positive-sense, single-stranded RNA","Inactivated","Approved","Seqirus","2007","Australia","3 years and above","NA","Intramuscular","NA","NA","Egg based","US FDA","NA","NA","NA","NA","NA","https://www.cdc.gov/flu/prevent/flushot.htm","https://www.cdc.gov/flu/professionals/acip/2021-2022/acip-table.htm"
"10070","Afluria Quadrivalent","Influenza (flu)","Respiratory","Influenza virus","positive-sense, single-stranded RNA","Inactivated","Approved","Seqirus","NA","NA","6 months - 64 years","NA","Intramuscular","Thimerosal (24.5) Mercury","NA","Egg based","US FDA","NA","NA","NA","NA","NA","https://www.cdc.gov/flu/prevent/flushot.htm","https://www.cdc.gov/flu/professionals/acip/2021-2022/acip-table.htm"
"10071","Fluarix Quadrivalent","Influenza (flu)","Respiratory","Influenza virus","positive-sense, single-stranded RNA","Inactivated","Approved","GlaxoSmithKline","NA","NA","6 months and above","Single dose","Intramuscular","NA","Hemagglutinin","Egg based","US FDA","NA","NA","NA","NA","NA","https://www.cdc.gov/flu/prevent/flushot.htm","https://www.cdc.gov/flu/professionals/acip/2021-2022/acip-table.htm"
"10072","FluLaval Quadrivalent","Influenza (flu)","Respiratory","Influenza virus","positive-sense, single-stranded RNA","Inactivated","Approved","GlaxoSmithKline","NA","NA","7 months and above","Single dose","Intramuscular","NA","Hemagglutinin","Egg based","US FDA","NA","NA","NA","NA","NA","https://www.cdc.gov/flu/prevent/flushot.htm","https://www.cdc.gov/flu/professionals/acip/2021-2022/acip-table.htm"
"10073","Fluzone Quadrivalent","Influenza (flu)","Respiratory","Influenza virus","positive-sense, single-stranded RNA","Inactivated","Approved","Sanofi Pasteur","NA","NA","8 months and above","Single dose","Intramuscular","NA","Hemagglutinin","Egg based","US FDA","NA","NA","NA","NA","NA","https://www.cdc.gov/flu/prevent/flushot.htm","https://www.cdc.gov/flu/professionals/acip/2021-2022/acip-table.htm"
"10074","Fluzone Quadrivalent","Influenza (flu)","Respiratory","Influenza virus","positive-sense, single-stranded RNA","Inactivated","Approved","Sanofi Pasteur","NA","NA","9 months and above","NA","Intramuscular","NA","Hemagglutinin","Egg based","US FDA","NA","NA","NA","NA","NA","https://www.cdc.gov/flu/prevent/flushot.htm","https://www.cdc.gov/flu/professionals/acip/2021-2022/acip-table.htm"
"10075","Fluzone Quadrivalent","Influenza (flu)","Respiratory","Influenza virus","positive-sense, single-stranded RNA","Inactivated","Approved","Sanofi Pasteur","NA","NA","10 months and above","NA","Intramuscular","Thimerosal (24.5) Mercury","Hemagglutinin","Egg based","US FDA","NA","NA","NA","NA","NA","https://www.cdc.gov/flu/prevent/flushot.htm","https://www.cdc.gov/flu/professionals/acip/2021-2022/acip-table.htm"
"10076","Flucelvax Quadrivalent","Influenza (flu)","Respiratory","Influenza virus","positive-sense, single-stranded RNA","Inactivated","Approved","Seqirus","NA","NA","4 years and above","Single dose","Intramuscular","NA","Hemagglutinin","Cell culture based","US FDA","NA","NA","NA","NA","NA","https://www.cdc.gov/flu/prevent/flushot.htm","https://www.cdc.gov/flu/professionals/acip/2021-2022/acip-table.htm"
"10077","Flucelvax Quadrivalent","Influenza (flu)","Respiratory","Influenza virus","positive-sense, single-stranded RNA","Inactivated","Approved","Seqirus","NA","NA","4 years and above","NA","Intramuscular","Thimerosal (24.5) Mercury","Hemagglutinin","Cell culture based","US FDA","NA","NA","NA","NA","NA","https://www.cdc.gov/flu/prevent/flushot.htm","https://www.cdc.gov/flu/professionals/acip/2021-2022/acip-table.htm"
"10078","Fluzone High-Dose Quadrivalent","Influenza (flu)","Respiratory","Influenza virus","positive-sense, single-stranded RNA","Inactivated","Approved","Sanofi Pasteur","NA","NA","65 years and above","Single dose","Intramuscular","NA","Hemagglutinin","Egg based","US FDA","NA","NA","NA","NA","NA","https://www.cdc.gov/flu/prevent/flushot.htm","https://www.cdc.gov/flu/professionals/acip/2021-2022/acip-table.htm"
"10079","Fluad Quadrivalent","Influenza (flu)","Respiratory","Influenza virus","positive-sense, single-stranded RNA","Inactivated","Approved","Seqirus","NA","NA","65 years and above","Single dose","Intramuscular","MF59","Hemagglutinin","Egg based","US FDA","NA","NA","NA","NA","NA","https://www.cdc.gov/flu/prevent/flushot.htm","https://www.cdc.gov/flu/professionals/acip/2021-2022/acip-table.htm"
"10080","Fluad Trivalent IIV (IIV3)","Influenza (flu)","Respiratory","Influenza virus","positive-sense, single-stranded RNA","Inactivated","Approved","Seqirus","NA","NA","65 years and above","Single dose","Intramuscular","MF59","Hemagglutinin","Egg based","US FDA","NA","NA","NA","NA","NA","https://www.cdc.gov/flu/prevent/flushot.htm","https://www.cdc.gov/flu/professionals/acip/2021-2022/acip-table.htm"
"10081","Flublok Quadrivalent","Influenza (flu)","Respiratory","Influenza virus","positive-sense, single-stranded RNA","Live-attenuated","Approved","Sanofi Pasteur","2013","NA","18 years and above","Single dose","Intramuscular","NA","Hemagglutinin","NA","US FDA","NA","NA","NA","NA","NA","https://www.cdc.gov/flu/prevent/flushot.htm","https://www.cdc.gov/flu/professionals/acip/2021-2022/acip-table.htm"
"10082","FluMist Quadrivalent","Influenza (flu)","Respiratory","Influenza virus","positive-sense, single-stranded RNA","Live-attenuated","Approved","AstraZeneca plc","2003","Canada","2 - 49 years","Single dose","Intranasal","NA","Hemagglutinin","Egg based","US FDA","NA","NA","Tamiflu, Relenza","NA","NA","https://www.cdc.gov/flu/prevent/flushot.htm","https://www.cdc.gov/flu/professionals/acip/2021-2022/acip-table.htm"
"10083","IL-YANG Quadrivalent Seasonal Influenza Vaccine","Influenza (flu)","Respiratory","Influenza virus","positive-sense, single-stranded RNA","Inactivated","Approved","Ilyang pharmaceutical Co. Ltd.","2020","SouthÂ Korea","3 - 18 years","Single dose","Intramuscular","NA","Inactivated Influenza virus","NA","MFDS","NA","NA","NA","NA","NCT03445468","https://clinicaltrials.gov/ct2/show/NCT03445468?recrs=ade&cond=Influenza%2C+Human&phase=23&draw=2&rank=4","https://www.clincosm.com/trial/influenza-il-yang-quadrivalent-vaccine-flu-prefilled-syringe"
"10084","ERVEBO","Ebola","Hemorrhagic","Zaire ebolavirus","negative-sense, single-stranded RNA","Live-attenuated","Approved","Merck & Co. Inc.","2019","USA","18 years and above","Single dose","Intramuscular","NA","Zaire Ebola virus glycoprotein","NA","US FDA, EMA","NA","NA","V920, rVSV-G-ZEBOV-GP, rVSV-ZEBOV","NA","NA","https://www.cdc.gov/vhf/ebola/clinicians/vaccine/index.html","https://www.thelancet.com/journals/laninf/article/PIIS1473-3099%2817%2930313-4/fulltext"
"10085","Ad26.ZEBOV","Ebola","Hemorrhagic","Zaire ebolavirus","negative-sense, single-stranded RNA","Recombinant viral vector","Approved","Janssen Pharmaceutical","2020","USA","1 year and above","Single dose of Zabdeno on day 0 followed by 0.5mL dose of Mvabea post 8 week","Intramuscular","NA","Adenovirus type 26 encoding the Zaire ebolavirus, Mayinga variant glycoprotein","NA","US FDA, EMA","NA","NA","MVA-BN-Filo","NA","NCT02509494","https://clinicaltrials.gov/ct2/show/NCT02509494","https://clinicaltrials.gov/ct2/show/NCT05284097"
"10086","YF-Vax","Yellow fever","Hemorrhagic","Yellow fever virus","positive-sense, single-stranded RNA","Live-attenuated","Approved","Sanofi Pasteur","NA","France","9 months and above","Single dose","Subcutaneous","NA","17D-204 strain of yellow fever virus","Culturing 17D-204 strain of yellow fever virus in living avian leukosis virus-free (ALV-free) chicken embryos","US FDA","NA","NA","NA","NA","NA","https://www.fda.gov/media/76015/download","https://www.fda.gov/media/76015/download"
"10087","CYD-TDV Dengvaxia","Dengue fever","Hemorrhagic","Dengue virus","positive-sense, single-stranded RNA","Live-attenuated","Approved","Sanofi Pasteur","2015","France","9 - 45 years","3 doses 6 months apart","Subcutaneous","NA","Dengue virus serotypes (1, 2, 3 and 4)","17D vaccine vector expressing genes of DENV-1, 2, 3, or 4","US FDA ","NA","NA","NA","30684747","NCT02747927","https://www.sciencedirect.com/science/article/pii/S1201971219300402","https://www.fda.gov/media/124379/download"
